Name,Description,Requirements,Reward,Type,Sub_Type,Heist,Difficulty,Status,Completion Date,Source
No One Can Hear You Scream,"While wearing the ""Venomorph"" mask from the Halloween event, silently kill 50 enemies using only melee.","While wearing the “Venomorph” mask from the Halloween event, silently kill 50 enemies using only melee.",,Achievement,Equipment,,Normal,Incomplete,,Halloween Event 2013
The Pumpkin King Made Me Do It!,Kill 666 enemies using only the Interceptor 45 pistol.,,,Achievement,Equipment,,Normal,Incomplete,,Halloween Event 2013
Christmas Came Early,Equip the Interceptor 45 pistol. Celebrating Halloween.,"Equip the Interceptor 45 pistol. Celebrating Halloween, you can now unlock the Interceptor 45 pistol by simply joining the PAYDAY 2 Official Group on Steam.",,Achievement,Inventory,,Normal,Incomplete,,Halloween Event 2013
Cheerful Child,"In the Safe House Nightmare job find the correct baby mask on the Normal difficulty. Unlocks the ""Happy Baby"" mask.",,Yes,Achievement,Heist,Safe House Nightmare,Normal,Incomplete,,Halloween Event 2013
Gilliam's Sweet Little Baby,"In the Safe House Nightmare job find the correct baby mask on the Hard difficulty. Unlocks the ""Brazil Baby"" mask.",,Yes,Achievement,Heist,Safe House Nightmare,Hard,Incomplete,,Halloween Event 2013
Temper Tantrum,"In the Safe House Nightmare job find the correct baby mask on the Very Hard difficulty. Unlocks the ""Angry Baby"" mask.",,Yes,Achievement,Heist,Safe House Nightmare,Very Hard,Incomplete,,Halloween Event 2013
Water Works,"In the Safe House Nightmare job find the correct baby mask on the OVERKILL difficulty. Unlocks the ""Cry Baby"" mask.",,Yes,Achievement,Heist,Safe House Nightmare,Overkill,Incomplete,,Halloween Event 2013
License to Kill,Kill 378 enemies using the Gruber Kurz handgun.,,,Achievement,Equipment,,Normal,Incomplete,,Armored Transport
I'm Not a Crook!,"While wearing the ""37th"" mask, kill 69 snipers using the Commando 553 rifle.","While wearing the ""37th"" mask, destroy 69 snipers using the Commando 553 rifle.",,Achievement,Equipment,,Normal,Incomplete,,Armored Transport
I Did Not Have Sexual Relations With That Bulldozer,"While wearing the ""42nd"" mask, trade 7 civilians.",,,Achievement,Equipment,,Normal,Incomplete,,Armored Transport
"Fool Me Once, Shame on -Shame on You. Fool Me - You Can't Get Fooled Again","While wearing the ""43rd"" mask, kill 95 Shields using the Swedish K submachine gun.",,,Achievement,Equipment,,Normal,Incomplete,,Armored Transport
Affordable Healthcare,"While wearing the ""44th"" mask, place 61 doctor bags.",,,Achievement,Equipment,,Normal,Incomplete,,Armored Transport
"I Do What I Do Best, I Take Scores","While wearing the ""Hockey Heat"" mask, complete any Armored Transport heist 15 times on the OVERKILL difficulty or above.","While wearing the ""Hockey Heat"" mask, finish any Armored Transport heist 15 times on OVERKILL difficulty or above.",,Achievement,Heist,Transport,Overkill,Incomplete,,Armored Transport
We're Gonna Need a Bigger Boat,"On the Transport: Train Heist, steal and secure 20 bags worth of ammo.","On the Train heist, steal and secure 20 bags worth of ammo.",,Achievement,Heist,Transport: Train Heist,Normal,Incomplete,,Armored Transport
But Wait - There's More!,"On any Armored Transport heist, find the plans for the Train Heist.",,,Achievement,Heist,Transport,Normal,Incomplete,,Armored Transport
If You Liked It You Should Have Put a Ring on It,"Complete any Armored Transport heist, Having Secured at Least 9 Bags of Gold.","Finish any Armored Transport heist, Having Secured at Least 9 Bags of Gold.",,Achievement,Heist,Transport,Normal,Incomplete,,Armored Transport
Let Them Watch,Complete the Transport: Train Heist without any of your crew members killing any enemy snipers.,Finish the Train heist without killing any snipers.,,Achievement,Heist,Transport: Train Heist,Normal,Incomplete,,Armored Transport
Heat Around the Corner,"Equip the ""Hockey Heat"" mask.","Equip the ""Hockey Heat"" mask. Celebrating the release of the Armored Transport DLC, you can now unlock the ""Hockey Heat"" mask by simply joining the PAYDAY 2 Official Group on Steam.",,Achievement,Heist,Transport,Normal,Incomplete,,Armored Transport
Wanted,"While wearing the ""Dolph"" mask, kill 100 enemies using only the AK5 rifle.","While wearing the ""Dolph"" mask, kill 100 law enforcers using only the AK5 rifle.",,Achievement,Equipment,,Normal,Incomplete,,Gage Weapon Pack 1
3000 Miles to the Safe House,"While wearing the ""Jean-Claude"" mask, kill 100 enemies using only the Kobus 90 submachine gun.","While wearing the ""Jean-Claude"" mask, kill 100 law enforcers using only the Kobus 90 submachine gun.",,Achievement,Equipment,,Normal,Incomplete,,Gage Weapon Pack 1
Commando,"While wearing the ""Arnold"" mask, kill 100 enemies using only the UAR rifle.","While wearing the ""Arnold"" mask, kill 100 law enforcers using only the UAR rifle.",,Achievement,Equipment,,Normal,Incomplete,,Gage Weapon Pack 1
Public Enemies,"While wearing the ""Chuck"" mask, kill 100 enemies using only the Crosskill pistol.","While wearing the ""Chuck"" mask, kill 100 law enforcers using only the Crosskill pistol.",,Achievement,Equipment,,Normal,Incomplete,,Gage Weapon Pack 1
Inception,Kill 100 enemies using only the Eagle Heavy rifle.,Kill 100 law enforcers using only the Eagle Heavy rifle.,,Achievement,Equipment,,Normal,Incomplete,,Gage Weapon Pack 1
Hard Corps,Kill 100 enemies using only the SpecOps submachine gun.,Kill 100 law enforcers using only the SpecOps submachine gun.,,Achievement,Equipment,,Normal,Incomplete,,Gage Weapon Pack 1
Above the Law,Kill 100 enemies using only the Signature .40 pistol.,Kill 100 law enforcers using only the Signature .40 pistol.,,Achievement,Equipment,,Normal,Incomplete,,Gage Weapon Pack 1
Fire in the Hole!,Throw 100 grenades.,,,Achievement,Equipment,,Normal,Incomplete,,Christmas 2013
Share the Love,Buy the grenade case asset 100 times.,,,Achievement,Misc,,Normal,Incomplete,,Christmas 2013
Guns are Like Shoes,Fill up 72 weapon slots.,,,Achievement,Inventory,,Normal,Incomplete,,Christmas 2013
Sewer Rats,"In the GO Bank job, complete the heist having secured all bags of cash via the sewers on the OVERKILL difficulty or above.",,,Achievement,Heist,GO Bank,Overkill,Incomplete,,Christmas 2013
Is Everything OK?,"In the GO Bank job, complete the heist without having the alarm go off at any point.",,,Achievement,Heist,GO Bank,Normal,Incomplete,,Christmas 2013
Upside Down,"In the GO Bank job, leave a mark on the bank logo.",,,Achievement,Heist,GO Bank,Normal,Incomplete,,Christmas 2013
All Eggs in One Basket,"In the GO Bank job, have the plane pick up all bags of cash with the skyhook.",,,Achievement,Heist,GO Bank,Normal,Incomplete,,Christmas 2013
We Are All Professionals,"In the GO Bank job, complete the heist without the alarm going off and without killing any civilians on the OVERKILL difficulty or above.",,,Achievement,Heist,GO Bank,Overkill,Incomplete,,Christmas 2013
Eco Round,"In the GO Bank job, complete the heist without using your primary weapon on the OVERKILL difficulty or above.",,,Achievement,Heist,GO Bank,Overkill,Incomplete,,Christmas 2013
Dead Presents,"In the GO Bank job, put at least 4 body bags under the Christmas tree.",,,Achievement,Heist,GO Bank,Normal,Incomplete,,Christmas 2013
Reindeer Games,"Complete a heist while you and your four man crew are wearing one different Christmas soundtrack or community ""Santa"" mask each.",Complete a heist while you and your four man crew are wearing one different ”Santa” mask each.,,Achievement,Equipment,,Normal,Incomplete,,Christmas 2013
Merry Christmas!,"Equip the ""Happy Santa"" mask.","Equip the ""Happy Santa"" mask. Celebrating the release of the free Charlie Santa Heist, you can now unlock the ""Happy Santa"" mask by simply joining the PAYDAY 2 Official Group on Steam.",,Achievement,Inventory,,Normal,Incomplete,,Christmas 2013
Becoming Infamous,Reach the first rank of Infamy.,Reach the first level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Christmas 2013
Becoming Disgraceful,Reach the second rank of Infamy.,Reach the second level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Christmas 2013
Becoming Wicked,Reach the third rank of Infamy.,Reach the third level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Christmas 2013
Becoming Notorious,Reach the fourth rank of Infamy.,Reach the fourth level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Christmas 2013
Becoming Vicious,Reach the fifth rank of Infamy.,Reach the fifth level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Christmas 2013
"They Drew First Blood, Not Me",Kill 220 enemies in a single day of a heist using any light machine gun.,Kill 220 enemies in a single heist using any light machine gun.,,Achievement,Equipment,,Normal,Incomplete,,Gage Weapon Pack #02
Killin's As Easy As Breathing,Kill 10 enemies in a row using any light machine gun without releasing the trigger.,,,Achievement,Equipment,,Normal,Incomplete,,Gage Weapon Pack #02
Cloak and Dagger,Kill a Cloaker with a knife.,,,Achievement,Equipment,,Normal,Incomplete,,Gage Weapon Pack #02
I Ain't Got Time to Bleed,Kill 15 FBI SWAT and FBI Heavy SWAT units with a knife while at 25% or less health on the OVERKILL difficulty or above.,Take down 15 FBI SWAT and FBI Heavy SWAT units with a knife while at 25% or less health on the OVERKILL difficulty or above.,,Achievement,Equipment,,Overkill,Incomplete,,Gage Weapon Pack #02
Are You Kidding Me?,Kill a Bulldozer in a knife fight.,,,Achievement,Equipment,,Normal,Incomplete,,Gage Weapon Pack #02
HOLY SHI-,You finally got what you were asking for!,You finally got what you were asking for! Get downed by a cloaker.,,Achievement,Misc,,Normal,Incomplete,,Gage Weapon Pack #02
"In Town You're the Law, Out Here It's Me",Kill a jump kicking Cloaker using any shotgun.,,,Achievement,Equipment,,Normal,Incomplete,,Gage Weapon Pack #02
The Eighth and Final Rule,"On the Nightclub job, kill 50 law enforcers using your fists.","On the Night Club heist, kill 50 law enforcers using your fists.",,Achievement,Heist,Nightclub,Normal,Incomplete,,Gage Weapon Pack #02
Don't Push It,Kill a charging Cloaker using the Deagle pistol.,,,Achievement,Equipment,,Normal,Incomplete,,Gage Weapon Pack #02
Doctor Miserable,"On day 2 of the Big Oil job, complete the heist with the last engine being correct on the OVERKILL difficulty or above.",,,Achievement,Heist,Big Oil,Overkill,Incomplete,,Gage Weapon Pack #02
Tough Act to Follow,"Complete all contracts on the Hard difficulty or above. Unlocks ""The Hard Skull"" mask.",,Yes,Achievement,Completion,,Hard,Incomplete,,Gage Weapon Pack #02
Shit Just Got Real,"Complete all contracts on the Very Hard difficulty or above. Unlocks ""The Very Hard Skull"" mask.",,Yes,Achievement,Completion,,Very Hard,Incomplete,,Gage Weapon Pack #02
Completely OVERKILL!,"Complete all contracts on the OVERKILL difficulty or above. Unlocks ""The OVERKILL Skull"" mask.",,Yes,Achievement,Completion,,Overkill,Incomplete,,Gage Weapon Pack #02
OVERKILL Salutes You!,"Complete all contracts on the Death Wish difficulty or above. Unlocks ""The Death Wish Skull"" mask.",,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Long-Term Relationship,Complete all of Bain's contracts on the Death Wish difficulty or above.,Complete all of Bains contracts on the Death Wish difficulty or above.,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Highway to Hell,Complete all of Hector's contracts on the Death Wish difficulty or above.,Complete all of Hectors contracts on the Death Wish difficulty or above.,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
… For Better or Worse,Complete all of the Elephants contracts on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Like a Fucking Sputnik!,Complete all of Vlad's contracts on the Death Wish difficulty or above.,Complete all of Vlads contracts on the Death Wish difficulty or above.,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Because That's Where the Money Is,Complete the Bank Heist: Random job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Striking Gold,Complete the Bank Heist: Gold job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Cash Is King,Complete the Bank Heist: Cash job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
"Yes Hello, I'd Like to Make a De-paws-it",Complete the Bank Heist: Deposit job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Tough As Diamonds,Complete the Diamond Store job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Cash in Before You Cash Out!,Complete the GO Bank job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Snatch and Grab,Complete the Jewelry Store job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
I'm a Firestarter,Complete the Firestarter job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Breaking Bad,Complete the Rats job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Special Delivery,Complete the Watchdogs job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Changing the World...,Complete the Big Oil job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Moonlighting,Complete the Framing Frame job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Becoming a Regular,Complete the Four Stores job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Came in Like a Wrecking Ball,Complete the Mallcrasher job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Blood on the Dance Floor,Complete the Nightclub job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Wedding Crashers,Complete the Ukrainian Job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
At a Crossroads,Complete the Transport: Crossroads job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Downtown Madness,Complete the Transport: Downtown job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Shipment and Handling,Complete the Transport: Harbor job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
A Walk in the Park,Complete the Transport: Park job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
It's Always Foggy in Washington D.C.,Complete the Transport: Underpass job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
With an Iron Fist,Equip the 350K brass knuckles. Celebrating the release of the Death Wish update.,"Equip the 350K brass knuckles. Celebrating the release of the Death Wish update, you can now unlock the 350K knuckles by simply joining the PAYDAY 2 Official Group on Steam.",,Achievement,Inventory,,Normal,Incomplete,,Gage Weapon Pack #02
I'm a Swinger,"In the Election Day job, complete the heist in stealth and swing the votes to the republican favor.","In the Election Day job, complete the heist in stealth and swing the votes to the republican favour.",,Achievement,Heist,Election Day,Normal,Incomplete,,Gage Weapon Pack #02
Death Wish Swinger,"In the Election Day job, complete the heist in stealth and swing the votes to the republican favor on the Death Wish difficulty or above.","In the Election Day job, complete the heist in stealth and swing the votes to the republican favour on the Death Wish difficulty or above.",,Achievement,Heist,Election Day,Death Wish,Incomplete,,Gage Weapon Pack #02
"Yes, We Can!",Complete the Election Day job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Gage Weapon Pack #02
Master Detective,"On day 1 of the Election Day job, tag the right truck.",,,Achievement,Heist,Election Day,Normal,Incomplete,,Gage Weapon Pack #02
Murphy's Law,"On day 1 of the Election Day job, tag the wrong truck, then find nothing in the vault.",,,Achievement,Heist,Election Day,Normal,Incomplete,,Gage Weapon Pack #02
Hot Lava 2.0,"On day 1 of the Election Day job, use the computer in stealth without ever touching the ground.",,,Achievement,Heist,Election Day,Normal,Incomplete,,Gage Weapon Pack #02
Storage Hunter,"On day 2 of the Election Day job, steal all of the extra loot in the storage bins.",,,Achievement,Heist,Election Day,Normal,Incomplete,,Gage Weapon Pack #02
Ghost Riders,Complete a heist while you and your four man crew are wearing one different difficulty mask each.,,,Achievement,Equipment,,Normal,Incomplete,,Gage Weapon Pack #02
A Vote For Change,Equip the Chimano Custom pistol.,"Equip the Chimano Custom pistol. Celebrating the release of the Election Day Heist, you can now unlock the Chimano Custom pistol by simply joining the PAYDAY 2 Official Group on Steam.",,Achievement,Inventory,,Normal,Incomplete,,Gage Weapon Pack #02
Praying Mantis,Collect 5 packages with the green mantis stamp on to earn a green crate.,,,Achievement,Progression,,Normal,Incomplete,,Gage Mod Courier
Bullseye,Collect 10 packages with the yellow bull stamp to earn a yellow crate.,Collect 10 packages with the yellow bull stamp on to earn a yellow crate,,Achievement,Progression,,Normal,Incomplete,,Gage Mod Courier
My Spider Sense is Tingling,Collect 15 packages with the red spider stamp on to earn a red crate.,Collect 15 packages with the red spider stamp on to earn a red crate,,Achievement,Progression,,Normal,Incomplete,,Gage Mod Courier
Eagle Eyes,Collect 20 packages with the blue eagle stamp on to earn a blue crate.,,,Achievement,Progression,,Normal,Incomplete,,Gage Mod Courier
Like A Boy Killing Snakes,Collect 25 packages with the purple snake stamp to earn a purple crate.,Collect 25 packages with the purple snake stamp on to earn a purple crate,,Achievement,Progression,,Normal,Incomplete,,Gage Mod Courier
There and Back Again,Earn one of each crate.,,,Achievement,Progression,,Normal,Incomplete,,Gage Mod Courier
"High Speed, Low Drag","Modify the CAR-4 rifle with a Competition Foregrip, CAR Quadstacked Mag, and a Competitor's Compensator.","Modify the CAR-4 rifle with a Competition Foregrip, CAR Quadstacked Mag and a Competitor's Compensator.",,Achievement,Inventory,,Normal,Incomplete,,Gage Mod Courier
Point 'n' Shoot,Modify any pistol with a Pistol Red Dot Sight and a Flash Hider.,,,Achievement,Inventory,,Normal,Incomplete,,Gage Mod Courier
Mall Ninja,"Modify the CAR-4 rifle with a Gazelle Rail, Tactical Compensator, Compact Holosight, Wide Stock and a Military Laser Module.",,,Achievement,Inventory,,Normal,Incomplete,,Gage Mod Courier
Russian Operator,"Modify any AK rifle with a Lightweight Rail, AK Slavic Dragon Barrel, AK Quadstacked Mag, and a Funnel of Fun Nozzle.","Modify any AK rifle with a Lightweight Rail, AK Slavic Dragon Barrel, AK Quadstacked Mag and a Funnel of Fun Nozzle.",,Achievement,Inventory,,Normal,Incomplete,,Gage Mod Courier
"Far, Far Away","Kill 25 enemies from 40 meters using only the Thanatos .50 cal sniper rifle. Unlocks the ""Tank Buster"" Barrel for the Thanatos .50 cal sniper rifle.",Kill 25 enemies from 40 meters using only the Thanatos .50 cal sniper rifle. Completing this achievement will unlock the Tank Buster Barrel for the Thanatos .50 cal sniper rifle.,Yes,Achievement,Equipment,,Normal,Incomplete,,Gage Sniper Pack
Last Action Villain,"Perform a headshot kill on enemies using only the R93 sniper rifle while zip lining. Unlocks the ""Compensated Suppressor"" for the R93 sniper rifle.",Perform a headshot kill on enemies using only the R93 sniper rifle while zip lining. Completing this achievement will unlock the Compensated Suppressor for the R93 sniper rifle.,Yes,Achievement,Equipment,,Normal,Incomplete,,Gage Sniper Pack
Maximum Penetration,"Kill 10 Shields by shooting through their shields using only the R93 sniper rifle. Unlocks the ""Short Barrel"" for the R93 sniper rifle.",Kill 10 Shields by shooting through their shields using only the R93 sniper rifle. Completing this achievement will unlock the Short Barrel for the R93 sniper rifle.,Yes,Achievement,Equipment,,Normal,Incomplete,,Gage Sniper Pack
Dodge This,"Perform 10 headshot kills on Cloakers using only the Thanatos .50 cal sniper rifle. Unlocks the ""Suppressed Barrel"" for the Thanatos .50 cal sniper rifle.",Perform 10 headshot kills on Cloakers using only the Thanatos .50 cal sniper rifle. Completing this achievement will unlock the Suppressed Barrel for the Thanatos .50 cal sniper rifle.,Yes,Achievement,Equipment,,Normal,Incomplete,,Gage Sniper Pack
Surprise Motherfucker,"Kill 10 Bulldozers using only the Thanatos .50 cal sniper rifle. Unlocks the ""CQB Barrel"" for the Thanatos .50 cal sniper rifle.",Kill 10 Bulldozers using only the Thanatos .50 cal sniper rifle. Completing this achievement will unlock the CQB Barrel for the Thanatos .50 cal sniper rifle.,Yes,Achievement,Equipment,,Normal,Incomplete,,Gage Sniper Pack
